Distrito,Latitud,Longitud,count
Chamberí,40.4389621,-3.705302,11353
Carabanchel,40.3742112,-3.744676,15395
Latina,40.4035317,-3.736152,11225
Usera,40.383894,-3.7064459,9786
Moncloa - Aravaca,40.457749,-3.7827941,12912
Moratalaz,40.4059332,-3.6448737,6605
Ciudad Lineal,40.4484305,-3.650495,14124
Villa De Vallecas,40.3739576,-3.6121632,6303
Villaverde,40.3456104,-3.6959556,7677
Chamartín,40.4739432,-3.682648,16995
Salamanca,40.4270451,-3.6806024,16899
Hortaleza,40.4725491,-3.6425515,9302
Centro,40.417652700000005,-3.70795469569446,12422
Fuencarral - El Pardo,40.55634555,-3.7785905137518054,12380
Vicálvaro,40.4018377,-3.5950537,4029
Puente De Vallecas,40.3868601,-3.6591803,18546
Barajas,40.4733176,-3.5798446,4327
Arganzuela,40.3969535,-3.6972891,11865
Retiro,40.4111495,-3.6760566,11018
Tetuán,40.4605781,-3.6982806,10480
San Blas - Canillejas,40.4304643,-3.614806,14464
